Elapsed Time,Phi 1,Phi 2,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
0.231941,0.887049,5.40085,-0.104671,-0.103759,-0.413242,-0.531752
0.232687,0.887585,5.40031,-0.108715,-0.107127,-0.415363,-0.533774
0.233437,0.88814,5.39975,-0.111538,-0.110465,-0.427299,-0.545182
0.234187,0.888527,5.39933,-0.101799,-0.103673,-0.421041,-0.538851
0.234934,0.889171,5.39874,-0.112382,-0.108933,-0.426851,-0.549332
0.235685,0.88965,5.39829,-0.109719,-0.10339,-0.424584,-0.543638
0.236434,0.890369,5.39775,-0.124992,-0.107101,-0.424429,-0.54618
0.237185,0.89096,5.39712,-0.12491,-0.114898,-0.434529,-0.553228
0.237935,0.891574,5.39658,-0.12715,-0.11473,-0.427305,-0.549606
0.238686,0.892184,5.39606,-0.128984,-0.113359,-0.428492,-0.552102
0.239434,0.892855,5.39533,-0.132135,-0.127389,-0.433656,-0.552859
0.240186,0.893504,5.39474,-0.134287,-0.126632,-0.430282,-0.553986
0.240938,0.893974,5.39429,-0.123692,-0.117643,-0.433062,-0.556994
0.241684,0.894669,5.39363,-0.131173,-0.124993,-0.435894,-0.562464
0.242436,0.895374,5.39307,-0.138088,-0.123779,-0.433586,-0.560243
0.243186,0.896046,5.3924,-0.138415,-0.130153,-0.434354,-0.561033
0.243936,0.896628,5.39172,-0.133776,-0.135066,-0.445528,-0.56456
0.244686,0.897217,5.39116,-0.129628,-0.129762,-0.437816,-0.563487
0.245438,0.897856,5.39042,-0.131631,-0.138453,-0.445691,-0.562961
0.246302,0.898664,5.38969,-0.136411,-0.136638,-0.439574,-0.564865
0.247061,0.899536,5.38897,-0.15143,-0.142182,-0.438058,-0.565674
0.247814,0.900262,5.38825,-0.152876,-0.146265,-0.439623,-0.567541
0.24856,0.90095,5.38752,-0.150502,-0.150251,-0.43901,-0.56599
0.249311,0.901681,5.38681,-0.151527,-0.149304,-0.43914,-0.566506
0.250061,0.902395,5.38599,-0.150701,-0.158118,-0.442358,-0.561135
0.25081,0.903283,5.38532,-0.161742,-0.152478,-0.437834,-0.56688
0.251561,0.903948,5.38462,-0.154707,-0.150999,-0.438794,-0.567276
0.252314,0.904829,5.38391,-0.166129,-0.15148,-0.429444,-0.571298
0.25306,0.905512,5.38306,-0.158901,-0.158528,-0.438115,-0.566711
0.253809,0.906211,5.38222,-0.155929,-0.165658,-0.442504,-0.55946
